Dis No,Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,ISO,Start Year,Start Month,End Year,End Month,Total Deaths,Total Affected,"Total Damages, Adjusted ('000 US$)",CPI
2006-0452-KEN,2006,Technological,Technological,Transport accident,Road,,KEN,2006,8,2006,8,11,3,,74.39638749
2006-0588-KEN,2006,Technological,Technological,Transport accident,Road,,KEN,2006,10,2006,10,12,1,,74.39638749
2006-0594-KEN,2006,Technological,Technological,Transport accident,Road,,KEN,2006,11,2006,11,13,,,74.39638749
2006-0034-KEN,2006,Technological,Technological,Industrial accident,Collapse,Building in construction,KEN,2006,1,2006,1,20,92,,74.39638749
2006-0413-MEX,2006,Natural,Hydrological,Flood,Riverine flood,,MEX,2006,7,2006,8,,,,74.39638749
2006-0407-MEX,2006,Natural,Hydrological,Landslide,Landslide,,MEX,2006,8,2006,8,11,,,74.39638749
2006-0498-MEX,2006,Natural,Hydrological,Landslide,Landslide,,MEX,2006,9,2006,9,10,,,74.39638749
2006-0709-MEX,2006,Natural,Meteorological,Extreme temperature ,Cold wave,,MEX,2006,11,2006,11,5,,,74.39638749
2006-0193-MEX,2006,Technological,Technological,Transport accident,Road,,MEX,2006,4,2006,4,57,3,,74.39638749
2006-0561-MEX,2006,Technological,Technological,Transport accident,Road,,MEX,2006,10,2006,10,14,,,74.39638749
2006-0691-MEX,2006,Technological,Technological,Transport accident,Road,,MEX,2006,12,2006,12,22,9,,74.39638749
2006-0101-MEX,2006,Technological,Technological,Industrial accident,Explosion,Mine,MEX,2006,2,2006,2,65,8,,74.39638749
2006-0711-TCD,2006,Natural,Hydrological,Flood,Riverine flood,,TCD,2006,9,2006,10,52,,,74.39638749
2006-0639-TCD,2006,Natural,Biological,Epidemic,Bacterial disease,Cholera,TCD,2006,6,2006,6,20,216,,74.39638749
2006-0706-USA,2006,Natural,Meteorological,Storm,Convective storm,,USA,2006,12,2006,12,,600,120974,74.39638749
2006-0707-USA,2006,Natural,Meteorological,Storm,Convective storm,,USA,2006,12,2006,12,,,,74.39638749
